"","ENTREZID","SYMBOL","ENSEMBL","SRR7251660","SRR7251661","SRR7251662","SRR7251664","SRR7251665","SRR7251667","SRR7251668","SRR7251670"
"6994","2049","EPHB3","ENSG00000182580",1,0,5,0,2,0,0,0
"6997","2050","EPHB4","ENSG00000196411",2,15,2,2,13,0,1,0
"6998","2051","EPHB6","ENSG00000106123",0,4,2,0,4,0,1,1
"6999","2051","EPHB6","ENSG00000275482",0,4,2,0,4,0,1,1
"7001","2052","EPHX1","ENSG00000143819",8,50,21,11,69,3,12,2
"7003","2053","EPHX2","ENSG00000120915",5,36,10,11,62,1,4,0
"7005","2054","STX2","ENSG00000111450",18,52,55,8,161,1,10,1
"7007","2055","CLN8","ENSG00000182372",11,58,76,19,86,9,16,8
"7008","2055","CLN8","ENSG00000278220",11,58,76,19,86,9,16,8
"7010","2056","EPO","ENSG00000130427",4,0,0,0,0,0,0,0
"7011","2057","EPOR","ENSG00000187266",14,26,9,9,9,0,0,0
"7013","2058","EPRS1","ENSG00000136628",20,194,113,31,301,12,49,2
"7015","2059","EPS8","ENSG00000151491",5,5,14,5,8,0,0,0
"7016","2060","EPS15","ENSG00000085832",102,434,302,66,679,29,167,21
"7017","2063","NR2F6","ENSG00000160113",0,1,3,2,2,0,0,0
"7020","2064","ERBB2","ENSG00000141736",12,17,36,5,61,1,5,0
"7023","2065","ERBB3","ENSG00000065361",8,2,0,2,3,0,1,0
"7024","2066","ERBB4","ENSG00000178568",11,0,0,0,0,0,0,0
"7025","2067","ERCC1","ENSG00000012061",10,45,42,5,69,2,9,0
"7026","2068","ERCC2","ENSG00000104884",3,22,23,3,27,0,1,1
"7027","2069","EREG","ENSG00000124882",7,2,15,1,5,5,404,2
"7029","2070","EYA4","ENSG00000112319",2,0,0,0,0,0,0,0
"7031","2071","ERCC3","ENSG00000163161",19,97,75,14,189,4,25,2
"7033","2072","ERCC4","ENSG00000175595",12,41,23,4,57,5,6,0
"7034","2073","ERCC5","ENSG00000134899",1,18,9,0,19,0,2,0
"7035","2074","ERCC6","ENSG00000225830",42,124,75,10,152,2,28,3
"7036","2077","ERF","ENSG00000105722",23,13,55,35,22,6,14,5
"7037","2078","ERG","ENSG00000157554",7,0,2,1,1,0,0,0
"7038","2079","ERH","ENSG00000100632",1,23,19,6,26,3,8,0
"7040","2081","ERN1","ENSG00000178607",7,162,114,37,289,10,61,3
"7041","2086","ERV3-1","ENSG00000213462",20,36,47,16,79,6,11,4
"7042","2091","FBL","ENSG00000105202",12,82,32,22,69,5,24,2
"7043","2091","FBL","ENSG00000280548",12,82,32,22,69,5,24,2
"7044","2098","ESD","ENSG00000139684",15,43,22,7,61,0,25,2
